gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,degree_percentage,undergrad_degree,work_experience,emp_test_percentage,specialisation,mba_percent,status
M,63,Central,60,Central,Commerce,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed
M,63,Others,62,Others,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,Placed
F,50,Others,37,Others,Arts,52,Others,No,65,Mkt&HR,56.11,Not Placed
F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,No,65,Mkt&HR,62.98,Placed
M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,67,Mkt&HR,62.65,Not Placed
F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Not Placed
M,80,Others,70,Others,Science,72,Sci&Tech,No,87,Mkt&HR,71.04,Placed
F,74,Central,60,Others,Science,69,Comm&Mgmt,No,78,Mkt&HR,65.56,Placed
M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,No,71,Mkt&HR,52.71,Placed
M,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,No,68,Mkt&Fin,66.88,Placed
M,68,Central,76,Central,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,63.59,Placed
M,74,Central,62,Others,Science,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,Placed
M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,Placed
M,74,Central,70,Central,Science,72,Comm&Mgmt,Yes,60,Mkt&Fin,57.24,Placed
M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,Placed
F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,No,59,Mkt&Fin,59.69,Placed
M,61,Others,70,Others,Commerce,64,Comm&Mgmt,No,68.5,Mkt&HR,59.5,Not Placed
M,80,Others,73,Others,Commerce,75,Comm&Mgmt,No,61,Mkt&Fin,58.78,Placed
M,54,Others,47,Others,Science,57,Comm&Mgmt,No,89.69,Mkt&HR,57.1,Not Placed
M,83,Others,74,Others,Science,66,Comm&Mgmt,No,68.92,Mkt&HR,58.46,Placed
M,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,Placed
F,69.7,Central,47,Central,Commerce,72.7,Sci&Tech,No,79,Mkt&HR,59.24,Not Placed
M,73,Central,73,Central,Science,66,Sci&Tech,Yes,70,Mkt&Fin,68.07,Placed
M,82,Others,61,Others,Science,62,Sci&Tech,No,89,Mkt&Fin,65.45,Placed
M,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,No,95,Mkt&Fin,66.94,Placed
M,84.86,Others,67,Others,Science,78,Comm&Mgmt,No,95.5,Mkt&Fin,68.53,Placed
M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,No,86,Mkt&Fin,59.75,Placed
M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,Placed
F,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,No,74,Mkt&HR,67,Not Placed
F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,No,61,Mkt&Fin,64.27,Placed
M,64,Others,80,Others,Science,65,Sci&Tech,Yes,69,Mkt&Fin,57.65,Placed
M,84,Others,90.9,Others,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Placed
F,69,Central,62,Central,Science,66,Sci&Tech,No,75,Mkt&HR,67.99,Not Placed
F,69,Others,62,Others,Commerce,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,Placed
M,81.7,Others,63,Others,Science,67,Comm&Mgmt,Yes,86,Mkt&Fin,70.2,Placed
M,63,Central,67,Central,Commerce,74,Comm&Mgmt,No,82,Mkt&Fin,60.44,Not Placed
M,84,Others,79,Others,Science,68,Sci&Tech,Yes,84,Mkt&Fin,66.69,Placed
M,70,Central,63,Others,Science,70,Sci&Tech,Yes,55,Mkt&Fin,62,Placed
F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,Placed
M,62,Others,63,Others,Commerce,64,Comm&Mgmt,No,67,Mkt&Fin,57.03,Placed
M,59.6,Central,51,Central,Science,60,Others,No,75,Mkt&HR,59.08,Not Placed
F,66,Central,62,Central,Commerce,73,Comm&Mgmt,No,58,Mkt&HR,64.36,Placed
F,84,Others,75,Others,Science,69,Sci&Tech,Yes,62,Mkt&HR,62.36,Placed
F,85,Others,90,Others,Commerce,82,Comm&Mgmt,No,92,Mkt&Fin,68.03,Placed
M,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,Not Placed
F,60.23,Central,69,Central,Science,66,Comm&Mgmt,No,72,Mkt&Fin,59.47,Placed
M,52,Central,62,Central,Commerce,54,Comm&Mgmt,No,72,Mkt&HR,55.41,Not Placed
M,58,Central,62,Central,Commerce,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Placed
M,73,Central,78,Others,Commerce,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Placed
F,76,Central,70,Central,Science,76,Comm&Mgmt,Yes,66,Mkt&Fin,64.44,Placed
F,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Not Placed
F,69,Central,73,Central,Commerce,65,Comm&Mgmt,No,70,Mkt&Fin,57.31,Placed
M,54,Central,82,Others,Commerce,63,Sci&Tech,No,50,Mkt&Fin,59.47,Not Placed
F,45,Others,57,Others,Commerce,58,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Not Placed
M,63,Central,72,Central,Commerce,68,Comm&Mgmt,No,78,Mkt&HR,60.44,Placed
F,77,Others,61,Others,Commerce,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,Placed
M,73,Central,78,Central,Science,73,Sci&Tech,Yes,85,Mkt&HR,65.83,Placed
M,69,Central,63,Others,Science,65,Comm&Mgmt,Yes,55,Mkt&HR,58.23,Placed
M,59,Central,64,Others,Science,58,Sci&Tech,No,85,Mkt&HR,55.3,Not Placed
M,61.08,Others,50,Others,Science,54,Sci&Tech,No,71,Mkt&Fin,65.69,Not Placed
M,82,Others,90,Others,Commerce,83,Comm&Mgmt,No,80,Mkt&HR,73.52,Placed
M,61,Central,82,Central,Commerce,69,Comm&Mgmt,No,84,Mkt&Fin,58.31,Placed
M,52,Central,63,Others,Science,65,Sci&Tech,Yes,86,Mkt&HR,56.09,Not Placed
F,69.5,Central,70,Central,Science,72,Sci&Tech,No,57.2,Mkt&HR,54.8,Placed
M,51,Others,54,Others,Science,61,Sci&Tech,No,60,Mkt&HR,60.64,Not Placed
M,58,Others,61,Others,Commerce,61,Comm&Mgmt,No,58,Mkt&HR,53.94,Placed
F,73.96,Others,79,Others,Commerce,67,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Placed
M,65,Central,68,Others,Science,69,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Placed
F,73,Others,63,Others,Science,66,Comm&Mgmt,No,89,Mkt&Fin,60.5,Placed
M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,70.85,Placed
M,77,Others,75,Others,Science,73,Sci&Tech,No,80,Mkt&Fin,67.05,Placed
M,76,Central,80,Central,Science,78,Sci&Tech,Yes,97,Mkt&HR,70.48,Placed
